_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,how_many_people_can_you_see_in_the_image,the_difficulty_of_this_task_is,id,image_url
575325136,10/19/2014 00:37:14,1435158348,10/19/2014 00:35:14,false,points4rewards,0.6165,20113482,USA,"","",72.168.128.206,21,Easy,count03,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193315.jpg
575325136,10/19/2014 00:58:23,1435172990,10/19/2014 00:57:33,false,instagc,0.7458,18699329,USA,MA,Bridgewater,96.237.198.161,25,Normal,count03,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193315.jpg
575325136,10/19/2014 01:16:29,1435188353,10/19/2014 01:15:14,false,instagc,0.6597,18871611,USA,IN,Noblesville,73.176.62.236,21,Normal,count03,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193315.jpg
575325136,10/19/2014 01:19:33,1435190644,10/19/2014 01:18:10,false,instagc,0.7344,29549959,USA,MT,Missoula,69.145.152.230,22,Normal,count03,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193315.jpg
575325136,10/19/2014 01:53:14,1435216270,10/19/2014 01:51:49,false,clixsense,0.6637,8108990,USA,WA,Bothell,50.46.244.34,19,Normal,count03,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193315.jpg
575325136,10/19/2014 02:08:32,1435230095,10/19/2014 02:06:45,false,instagc,0.6824,19828154,USA,TX,Belton,99.197.147.39,15,Normal,count03,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193315.jpg
575325136,10/19/2014 02:19:28,1435238055,10/19/2014 02:17:59,false,surveymad,0.2204,12840726,USA,NC,Indian Trail,98.23.87.173,30,Easy,count03,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193315.jpg
575325136,10/19/2014 02:38:51,1435251841,10/19/2014 02:24:26,false,instagc,0.5393,13763729,USA,NC,Apex,75.182.89.225,22,Easy,count03,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193315.jpg
575325136,10/19/2014 02:48:07,1435258150,10/19/2014 02:46:39,false,gifthulk,0.5042,30142697,USA,FL,Jacksonville,24.129.68.254,19,Normal,count03,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193315.jpg
575325136,10/19/2014 02:57:50,1435264774,10/19/2014 02:54:47,false,instagc,0.5076,18386513,USA,TN,Knoxville,98.70.105.203,30,Easy,count03,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193315.jpg
575325137,10/19/2014 00:50:55,1435167735,10/19/2014 00:39:50,false,points4rewards,0.6165,20113482,USA,"","",72.168.128.206,20,Normal,count04,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193415.jpg
575325137,10/19/2014 01:04:40,1435178033,10/19/2014 01:04:02,false,instagc,0.7458,18699329,USA,MA,Bridgewater,96.237.198.161,20,Normal,count04,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193415.jpg
575325137,10/19/2014 01:14:33,1435186835,10/19/2014 01:13:31,false,coinworker,0.3733,23778084,USA,PA,State College,71.207.23.37,36,Hard,count04,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193415.jpg
575325137,10/19/2014 01:15:03,1435187287,10/19/2014 01:13:11,false,instagc,0.7344,29549959,USA,MT,Missoula,69.145.152.230,23,Normal,count04,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193415.jpg
575325137,10/19/2014 01:21:49,1435192361,10/19/2014 01:20:31,false,instagc,0.6597,18871611,USA,IN,Noblesville,73.176.62.236,18,Normal,count04,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193415.jpg
575325137,10/19/2014 01:58:47,1435220787,10/19/2014 01:57:23,false,clixsense,0.6637,8108990,USA,WA,Bothell,50.46.244.34,19,Normal,count04,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193415.jpg
575325137,10/19/2014 02:16:49,1435235923,10/19/2014 02:15:15,false,instagc,0.6824,19828154,USA,TX,Belton,99.197.147.39,20,Normal,count04,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193415.jpg
575325137,10/19/2014 02:22:24,1435240274,10/19/2014 02:18:37,false,instagc,0.5393,13763729,USA,NC,Apex,75.182.89.225,30,Normal,count04,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193415.jpg
575325137,10/19/2014 02:39:53,1435252654,10/19/2014 02:32:31,false,surveymad,0.2204,12840726,USA,NC,Indian Trail,98.23.87.173,20,Easy,count04,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193415.jpg
575325137,10/19/2014 03:01:55,1435267613,10/19/2014 02:59:48,false,instagc,0.5076,18386513,USA,TN,Knoxville,98.70.105.203,25,Normal,count04,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193415.jpg
575325138,10/19/2014 01:04:16,1435177746,10/19/2014 00:51:00,false,points4rewards,0.6165,20113482,USA,"","",72.168.128.206,21,Normal,count05,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193644.jpg
575325138,10/19/2014 01:05:25,1435178833,10/19/2014 01:04:42,false,instagc,0.7458,18699329,USA,MA,Bridgewater,96.237.198.161,20,Normal,count05,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193644.jpg
575325138,10/19/2014 01:09:16,1435182544,10/19/2014 01:07:52,false,clixsense,0.775,11106820,USA,MA,Taunton,108.49.222.138,15,Normal,count05,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193644.jpg
575325138,10/19/2014 01:09:24,1435182646,10/19/2014 01:07:30,false,instagc,0.7344,29549959,USA,MT,Missoula,69.145.152.230,22,Normal,count05,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193644.jpg
575325138,10/19/2014 01:15:12,1435187464,10/19/2014 01:14:34,false,coinworker,0.3733,23778084,USA,PA,State College,71.207.23.37,24,Hard,count05,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193644.jpg
575325138,10/19/2014 01:18:06,1435189477,10/19/2014 01:16:30,false,instagc,0.6597,18871611,USA,IN,Noblesville,73.176.62.236,22,Normal,count05,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193644.jpg
575325138,10/19/2014 01:39:27,1435205842,10/19/2014 01:37:25,false,clixsense,0.6637,8108990,USA,WA,Bothell,50.46.244.34,17,Normal,count05,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193644.jpg
575325138,10/19/2014 02:06:42,1435228469,10/19/2014 02:05:28,false,instagc,0.6824,19828154,USA,TX,Belton,99.197.147.39,10,Easy,count05,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193644.jpg
575325138,10/19/2014 02:14:29,1435234274,10/19/2014 02:11:41,false,instagc,0.5393,13763729,USA,NC,Apex,75.182.89.225,19,Normal,count05,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193644.jpg
575325138,10/19/2014 02:15:51,1435235225,10/19/2014 02:14:59,false,surveymad,0.2204,12840726,USA,NC,Indian Trail,98.23.87.173,25,Easy,count05,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193644.jpg
575325139,10/19/2014 00:59:17,1435173727,10/19/2014 00:58:25,false,instagc,0.7458,18699329,USA,MA,Bridgewater,96.237.198.161,8,Normal,count06,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193911.jpg
575325139,10/19/2014 01:17:12,1435188845,10/19/2014 01:16:37,false,coinworker,0.3733,23778084,USA,PA,State College,71.207.23.37,19,Normal,count06,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193911.jpg
575325139,10/19/2014 01:18:09,1435189528,10/19/2014 01:16:35,false,instagc,0.7344,29549959,USA,MT,Missoula,69.145.152.230,15,Normal,count06,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193911.jpg
575325139,10/19/2014 01:20:13,1435191264,10/19/2014 01:12:25,false,points4rewards,0.6165,20113482,USA,"","",72.168.128.206,16,Normal,count06,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193911.jpg
575325139,10/19/2014 01:24:46,1435194517,10/19/2014 01:23:35,false,instagc,0.6597,18871611,USA,IN,Noblesville,73.176.62.236,18,Normal,count06,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193911.jpg
575325139,10/19/2014 01:39:27,1435205843,10/19/2014 01:37:25,false,clixsense,0.6637,8108990,USA,WA,Bothell,50.46.244.34,15,Normal,count06,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193911.jpg
575325139,10/19/2014 01:48:08,1435212648,10/19/2014 01:45:42,false,instagc,0.6824,19828154,USA,TX,Belton,99.197.147.39,10,Easy,count06,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193911.jpg
575325139,10/19/2014 02:18:35,1435237337,10/19/2014 02:16:45,false,instagc,0.5393,13763729,USA,NC,Apex,75.182.89.225,17,Normal,count06,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193911.jpg
575325139,10/19/2014 02:32:29,1435247331,10/19/2014 02:20:42,false,surveymad,0.2204,12840726,USA,NC,Indian Trail,98.23.87.173,15,Easy,count06,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193911.jpg
575325139,10/19/2014 02:50:30,1435259941,10/19/2014 02:49:13,false,gifthulk,0.5042,30142697,USA,FL,Jacksonville,24.129.68.254,15,Normal,count06,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193911.jpg
575325140,10/19/2014 00:23:16,1435149858,10/19/2014 00:21:31,false,zoombucks,0.9,5919735,USA,PA,Lansdale,96.245.83.248,15,Normal,count07,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193915.jpg
575325140,10/19/2014 00:58:23,1435172987,10/19/2014 00:57:33,false,instagc,0.7458,18699329,USA,MA,Bridgewater,96.237.198.161,10,Normal,count07,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193915.jpg
575325140,10/19/2014 01:13:09,1435185776,10/19/2014 01:10:45,false,instagc,0.7344,29549959,USA,MT,Missoula,69.145.152.230,17,Normal,count07,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193915.jpg
575325140,10/19/2014 01:13:30,1435186077,10/19/2014 01:11:05,false,coinworker,0.3733,23778084,USA,PA,State College,71.207.23.37,18,Normal,count07,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193915.jpg
575325140,10/19/2014 01:23:07,1435193214,10/19/2014 01:21:51,false,instagc,0.6597,18871611,USA,IN,Noblesville,73.176.62.236,22,Normal,count07,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193915.jpg
575325140,10/19/2014 01:41:40,1435207538,10/19/2014 01:27:13,false,points4rewards,0.6165,20113482,USA,"","",72.168.128.96,16,Easy,count07,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193915.jpg
575325140,10/19/2014 01:44:37,1435210022,10/19/2014 01:43:50,false,instagc,0.2152,21319315,USA,PA,Lebanon,50.164.80.73,20,Easy,count07,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193915.jpg
575325140,10/19/2014 01:45:39,1435210861,10/19/2014 01:43:12,false,instagc,0.6824,19828154,USA,TX,Belton,99.197.147.39,10,Normal,count07,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193915.jpg
575325140,10/19/2014 01:53:08,1435216205,10/19/2014 01:50:52,false,elite,0.7814,28276268,USA,IL,Chicago,75.118.177.249,17,Normal,count07,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193915.jpg
575325140,10/19/2014 01:53:14,1435216271,10/19/2014 01:51:49,false,clixsense,0.6637,8108990,USA,WA,Bothell,50.46.244.34,14,Normal,count07,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_193915.jpg
575325141,10/19/2014 00:20:07,1435147934,10/19/2014 00:16:28,false,elite,0.9333,26090878,USA,CT,Litchfield,69.123.110.189,16,Easy,count08,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_194003.jpg
575325141,10/19/2014 01:07:27,1435180794,10/19/2014 01:05:40,false,instagc,0.7344,29549959,USA,MT,Missoula,69.145.152.230,17,Normal,count08,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_194003.jpg
575325141,10/19/2014 01:08:11,1435181400,10/19/2014 01:07:14,false,instagc,0.7458,18699329,USA,MA,Bridgewater,96.237.198.161,10,Normal,count08,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_194003.jpg
575325141,10/19/2014 01:20:30,1435191433,10/19/2014 01:18:07,false,instagc,0.6597,18871611,USA,IN,Noblesville,73.176.62.236,20,Normal,count08,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_194003.jpg
575325141,10/19/2014 01:41:40,1435207537,10/19/2014 01:27:13,false,points4rewards,0.6165,20113482,USA,"","",72.168.128.96,17,Normal,count08,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_194003.jpg
575325141,10/19/2014 01:44:09,1435209630,10/19/2014 01:42:00,false,clixsense,0.6637,8108990,USA,WA,Bothell,50.46.244.34,15,Normal,count08,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_194003.jpg
575325141,10/19/2014 02:00:23,1435222406,10/19/2014 01:59:44,false,instagc,0.2152,21319315,USA,PA,Lebanon,50.164.80.73,15,Easy,count08,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_194003.jpg
575325141,10/19/2014 02:06:42,1435228468,10/19/2014 02:05:28,false,instagc,0.6824,19828154,USA,TX,Belton,99.197.147.39,10,Easy,count08,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_194003.jpg
575325141,10/19/2014 02:19:28,1435238050,10/19/2014 02:17:59,false,surveymad,0.2204,12840726,USA,NC,Indian Trail,98.23.87.173,20,Easy,count08,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_194003.jpg
575325141,10/19/2014 02:22:24,1435240278,10/19/2014 02:18:37,false,instagc,0.5393,13763729,USA,NC,Apex,75.182.89.225,16,Easy,count08,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_194003.jpg
575325142,10/19/2014 00:24:07,1435150406,10/19/2014 00:16:26,false,points4rewards,0.6165,20113482,USA,"","",72.168.128.206,16,Easy,count09,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_194108.jpg
575325142,10/19/2014 01:00:18,1435174498,10/19/2014 00:59:19,false,instagc,0.7458,18699329,USA,MA,Bridgewater,96.237.198.161,10,Normal,count09,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_194108.jpg
575325142,10/19/2014 01:21:49,1435192367,10/19/2014 01:20:31,false,instagc,0.6597,18871611,USA,IN,Noblesville,73.176.62.236,22,Normal,count09,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_194108.jpg
575325142,10/19/2014 01:22:16,1435192687,10/19/2014 01:20:59,false,instagc,0.7344,29549959,USA,MT,Missoula,69.145.152.230,16,Normal,count09,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_194108.jpg
575325142,10/19/2014 01:55:45,1435218362,10/19/2014 01:53:15,false,clixsense,0.6637,8108990,USA,WA,Bothell,50.46.244.34,13,Normal,count09,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_194108.jpg
575325142,10/19/2014 02:05:23,1435227485,10/19/2014 01:48:12,false,instagc,0.6824,19828154,USA,TX,Belton,99.197.147.39,15,Normal,count09,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_194108.jpg
575325142,10/19/2014 02:14:29,1435234272,10/19/2014 02:11:41,false,instagc,0.5393,13763729,USA,NC,Apex,75.182.89.225,19,Normal,count09,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_194108.jpg
575325142,10/19/2014 02:20:41,1435238898,10/19/2014 02:19:31,false,surveymad,0.2204,12840726,USA,NC,Indian Trail,98.23.87.173,20,Easy,count09,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_194108.jpg
575325142,10/19/2014 02:50:30,1435259953,10/19/2014 02:49:13,false,gifthulk,0.5042,30142697,USA,FL,Jacksonville,24.129.68.254,13,Normal,count09,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_194108.jpg
575325142,10/19/2014 02:57:50,1435264777,10/19/2014 02:54:47,false,instagc,0.5076,18386513,USA,TN,Knoxville,98.70.105.203,20,Normal,count09,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_194108.jpg
575325143,10/19/2014 00:08:51,1435140842,10/19/2014 00:06:30,false,instagc,1.0,19838540,USA,AL,Mobile,68.63.67.24,25,Hard,count10,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_194211.jpg
575325143,10/19/2014 00:57:32,1435172249,10/19/2014 00:55:26,false,instagc,0.7458,18699329,USA,MA,Bridgewater,96.237.198.161,18,Normal,count10,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_194211.jpg
575325143,10/19/2014 01:06:07,1435179474,10/19/2014 01:04:20,false,points4rewards,0.6165,20113482,USA,"","",72.168.128.206,19,Normal,count10,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_194211.jpg
575325143,10/19/2014 01:16:33,1435188380,10/19/2014 01:15:04,false,instagc,0.7344,29549959,USA,MT,Missoula,69.145.152.230,23,Normal,count10,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_194211.jpg
575325143,10/19/2014 01:18:06,1435189470,10/19/2014 01:16:30,false,instagc,0.6597,18871611,USA,IN,Noblesville,73.176.62.236,22,Normal,count10,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_194211.jpg
575325143,10/19/2014 01:35:41,1435203054,10/19/2014 01:34:19,false,clixsense,0.6637,8108990,USA,WA,Bothell,50.46.244.34,20,Normal,count10,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_194211.jpg
575325143,10/19/2014 02:00:32,1435222551,10/19/2014 01:56:42,false,fusioncash,0.4119,19291730,USA,NC,Hickory,97.89.113.70,22,Hard,count10,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_194211.jpg
575325143,10/19/2014 02:16:49,1435235916,10/19/2014 02:15:15,false,instagc,0.6824,19828154,USA,TX,Belton,99.197.147.39,15,Normal,count10,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_194211.jpg
575325143,10/19/2014 02:18:35,1435237344,10/19/2014 02:16:45,false,instagc,0.5393,13763729,USA,NC,Apex,75.182.89.225,26,Normal,count10,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_194211.jpg
575325143,10/19/2014 02:32:29,1435247328,10/19/2014 02:20:42,false,surveymad,0.2204,12840726,USA,NC,Indian Trail,98.23.87.173,20,Easy,count10,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_194211.jpg
575325144,10/19/2014 00:24:07,1435150419,10/19/2014 00:16:26,false,points4rewards,0.6165,20113482,USA,"","",72.168.128.206,25,Normal,count11,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_194253.jpg
575325144,10/19/2014 01:02:05,1435175905,10/19/2014 01:01:14,false,instagc,0.7458,18699329,USA,MA,Bridgewater,96.237.198.161,20,Normal,count11,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_194253.jpg
575325144,10/19/2014 01:18:09,1435189525,10/19/2014 01:16:35,false,instagc,0.7344,29549959,USA,MT,Missoula,69.145.152.230,21,Normal,count11,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_194253.jpg
575325144,10/19/2014 01:29:39,1435198526,10/19/2014 01:29:20,false,instagc,0.6597,18871611,USA,IN,Noblesville,73.176.62.236,21,Normal,count11,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_194253.jpg
575325144,10/19/2014 01:37:22,1435204367,10/19/2014 01:35:43,false,clixsense,0.6637,8108990,USA,WA,Bothell,50.46.244.34,21,Normal,count11,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_194253.jpg
575325144,10/19/2014 01:44:37,1435210017,10/19/2014 01:43:50,false,instagc,0.2152,21319315,USA,PA,Lebanon,50.164.80.73,25,Easy,count11,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_194253.jpg
575325144,10/19/2014 01:48:35,1435213013,10/19/2014 01:46:20,false,instagc,0.5533,23962923,USA,CA,Van Nuys,172.248.184.29,19,Normal,count11,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_194253.jpg
575325144,10/19/2014 02:00:32,1435222550,10/19/2014 01:56:42,false,fusioncash,0.4119,19291730,USA,NC,Hickory,97.89.113.70,24,Hard,count11,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_194253.jpg
575325144,10/19/2014 02:10:14,1435231322,10/19/2014 02:08:36,false,instagc,0.6824,19828154,USA,TX,Belton,99.197.147.39,20,Normal,count11,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_194253.jpg
575325144,10/19/2014 02:17:02,1435236044,10/19/2014 02:15:54,false,surveymad,0.2204,12840726,USA,NC,Indian Trail,98.23.87.173,20,Easy,count11,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_194253.jpg
575325145,10/19/2014 00:24:07,1435150422,10/19/2014 00:16:26,false,points4rewards,0.6165,20113482,USA,"","",72.168.128.206,20,Normal,count12,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_194317.jpg
575325145,10/19/2014 01:00:18,1435174497,10/19/2014 00:59:19,false,instagc,0.7458,18699329,USA,MA,Bridgewater,96.237.198.161,15,Normal,count12,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_194317.jpg
575325145,10/19/2014 01:07:27,1435180793,10/19/2014 01:05:40,false,instagc,0.7344,29549959,USA,MT,Missoula,69.145.152.230,17,Normal,count12,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_count/20141017_194317.jpg
